Open,High,Low,Close,Volume
18686.5,18686.5,18684,18684,467101196
18684,18738.5,18684,18728.5,350271335
18736.5,18738.5,18726,18726,483901474
18726,18743,18724.5,18743,457791103
18743,18744.5,18736.5,18736.5,604820695
18727,18743,18727,18743,451889487
18743,18746,18743,18746,551800820
18746,18746,18730.5,18730.5,662195270
18730.5,18733.5,18723.5,18733.5,531543853
18733.5,18770,18733.5,18770,483542787
18779,18780,18761.5,18765,384158954
18765,18765,18753.5,18757,422816872
18757,18757,18748,18748,477464007
18748,18763.5,18748,18763.5,440101146
18770,18777.5,18766,18771,292913186
18771,18778.5,18771,18773.5,381747577
18773.5,18800,18773.5,18800,388852287
18800,18800,18794,18800,1119597269
18800,18817.5,18786,18786,900729870
18786,18788,18782.5,18788,383446400
18788,18799,18784.5,18796.5,381108903
18796.5,18801.5,18796.5,18799.5,526872168
18799.5,18799.5,18799.5,18799.5,515107976
18799.5,18799.5,18768.5,18768.5,525782147
18768.5,18778.5,18763,18769,358187989
18767,18767,18752.5,18752.5,709442402
18752.5,18791,18750.5,18791,370738591
18791,18791,18752.5,18752.5,365340921
18756.5,18759,18749,18749,531789206
18749,18767.5,18749,18767.5,421959346
18767.5,18767.5,18767.5,18767.5,390995427
18767.5,18767.5,18767.5,18767.5,578294770
18767.5,18783,18767.5,18783,402057444
18783,18783,18773,18773,533215947
18773,18813,18773,18806,346205987
18806,18816,18806,18811.5,332943988
18811.5,18811.5,18788.5,18788.5,550744706
18788.5,18800.5,18780.5,18795.5,375148500
18795.5,18797.5,18787.5,18787.5,368201912
18787.5,18792.5,18780.5,18792.5,383603261
18792.5,18813,18792.5,18813,569517375
18813,18813,18774.5,18779,466461470
18779,18780,18779,18780,521185352
18780,18800.5,18780,18785.5,441540314
18785.5,18813.5,18785.5,18813.5,340422924
18813.5,18835,18813.5,18831.5,403161887
18831.5,18835,18811.5,18835,376192337
18836,18869,18832.5,18869,341555109
18869,18870,18825.5,18825.5,374009867
18825.5,18855.5,18825.5,18855.5,394150094
18855.5,18858,18850.5,18855.5,340811131
18855.5,18855.5,18821,18821,346906898
18815.5,18841.5,18811.5,18828,318540100
18827.5,18841,18820.5,18835.5,372505770
18835.5,18835.5,18828,18832,467507654
18832,18832,18822.5,18825.5,395569518
18825.5,18830,18822,18830,407692217
18830,18842,18827.5,18842,393689908
18842,18867.5,18842,18867.5,404603149
18867.5,18872.5,18867.5,18872.5,429734831
18872.5,18905,18872.5,18905,341633568
18905,18918.5,18894,18917.5,368259453
18917.5,18918.5,18896,18896,370977060
18896,18896,18864,18878,653737386
18884.5,18900,18884.5,18888.5,375359907
18888.5,18895,18875,18895,324914005
18893.5,18893.5,18875,18877,388349860
18877,18900.5,18877,18900.5,348715951
18900.5,18900.5,18878.5,18878.5,459557210
18875.5,18886.5,18871,18886.5,396792229
18886.5,18886.5,18874.5,18877.5,354090616
18877,18877,18871.5,18871.5,368187199
18871.5,18910,18868.5,18907,384280857
18907,18943.5,18907,18934.5,422296036
18934.5,18945,18932,18945,312612286
18945,18945,18931,18945,393275147
18948.5,18966,18913.5,18937,260646971
18937,18937,18913.5,18919,328074205
18919,18948,18919,18942,266323540
18942,18942,18913.5,18927,277740106
18927,18927,18910.5,18912,363816431
18912,18927.5,18900.5,18927.5,377833364
18927.5,18967,18927.5,18967,336932578
18967,18967,18943,18946,313071738
18944,18986.5,18941,18983,312007070
18983,18983.5,18948.5,18983.5,442733028
18983.5,18989,18981.5,18989,432158574
18989,18989,18982,18982,424811049
18982,18995,18979,18993,301831817
18993,19019.5,18990.5,18990.5,311467990
18990.5,19021.5,18990.5,19021.5,406088438
19021.5,19070.5,19007.5,19025,372912620
19025,19072,19018.5,19060.5,606263840
19060.5,19098.5,19041.5,19089.5,297967455
19089.5,19113,19089.5,19107.5,284898850
19107.5,19136,19107.5,19127,369161880
19130,19181,19130,19178.5,277982536
19183,19198,19142.5,19170.5,397061471
19172,19200,19167,19200,281930635
19200,19228,19200,19223,250973102
19223,19230,19181,19225,252818151
19225.5,19236,19194.5,19217.5,265464583
19218,19234,19198.5,19198.5,276458920
19198.5,19199.5,19157,19193,242233073
19193,19204.5,19168,19187,239410641
19186.5,19211,19182.5,19211,280476137
19211,19211,19179.5,19199.5,298597176
19200,19234,19192,19233,324823642
19233,19330,19233,19260.5,247924221
19260.5,19303,19258,19303,306526805
19303,19350,19303,19315.5,248169306
19321.5,19361.5,19316.5,19324,179180505
19324,19341,19320,19327.5,283580887
19327.5,19333,19302.5,19308,241396169
19304,19312,19258.5,19306,223533706
19306,19306,19222.5,19227,262851726
19227,19278,19227,19277.5,287027361
19277.5,19287,19255.5,19266,282745681
19255.5,19278.5,19246.5,19275,305692966
19272.5,19272.5,19230,19230,331135136
19230,19235,19187,19210.5,399341943
19210.5,19235,19195,19233,337335821
19234.5,19274.5,19220,19274.5,265235399
19274.5,19285,19271,19285,293759352
19280.5,19280.5,19257,19257,351563863
19252.5,19279,19229,19231.5,345794734
19231.5,19263,19226.5,19253.5,342055684
19253.5,19276.5,19233.5,19274,245531823
19274,19290,19249.5,19250,305533146
19250,19275.5,19250,19272.5,328746096
19269.5,19288,19265,19288,414500368
19288,19316.5,19281,19316.5,400179734
19316.5,19325,19293.5,19296,293397515
19294,19312.5,19294,19309,301889178
19309,19309,19277.5,19284.5,334024583
19275.5,19280,19240.5,19267,329467027
19267,19284.5,19267,19276.5,306111713
19276.5,19285,19265.5,19285,335557760
19285,19285,19270.5,19280.5,294426655
19280.5,19285,19275.5,19281.5,295474994
19281.5,19338.5,19281.5,19338.5,316128532
19339.5,19393,19327.5,19380.5,243826178
19380.5,19419.5,19380.5,19407.5,244968433
